ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,Incumplimiento,Vivienda,Consumo,Contacto,Mes,Dias,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
29043,29,admin.,married,high.school,no,yes,no,cellular,jun,mon,1,999,0,nonexistent,-2.9,92963.0,-40.8,1266.0,5076.2,1
32164,32,management,single,university.degree,no,no,no,cellular,jul,fri,2,999,1,failure,-1.7,94215.0,-40.3,0.861,4991.6,0
25132,37,services,married,high.school,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92893.0,-46.2,1334.0,5099.1,0
21050,36,technician,single,basic.9y,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
21599,30,services,married,high.school,no,yes,no,telephone,nov,thu,7,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
16696,51,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93444.0,-36.1,4965.0,5228.1,0
18267,58,admin.,divorced,university.degree,unknown,no,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93444.0,-36.1,4965.0,5228.1,0
6957,32,technician,married,professional.course,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94465.0,-41.8,4864.0,5228.1,0
10103,46,admin.,married,university.degree,no,no,no,telephone,jul,mon,1,999,0,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,0
7172,37,services,married,high.school,no,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94465.0,-41.8,4866.0,5228.1,0
9059,49,management,married,university.degree,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94465.0,-41.8,4961.0,5228.1,0
13051,58,retired,married,basic.4y,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93918.0,-42.7,4961.0,5228.1,0
4022,46,technician,single,university.degree,no,yes,no,telephone,may,fri,6,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
15071,32,technician,married,university.degree,no,yes,yes,telephone,jul,thu,6,999,0,nonexistent,1.4,93918.0,-42.7,4968.0,5228.1,0
21634,50,management,divorced,university.degree,no,yes,no,cellular,nov,fri,11,999,0,nonexistent,-0.1,93.2,-42.0,4021.0,5195.8,0
26816,44,admin.,divorced,high.school,no,yes,no,cellular,may,tue,2,999,1,failure,-1.8,92893.0,-46.2,1291.0,5099.1,0
10752,32,self-employed,single,university.degree,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
11243,30,services,single,high.school,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93918.0,-42.7,4963.0,5228.1,0
15153,60,retired,married,university.degree,unknown,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93444.0,-36.1,4.97,5228.1,0
8651,37,technician,married,high.school,no,yes,no,telephone,jun,tue,4,999,0,nonexistent,1.4,94465.0,-41.8,4961.0,5228.1,0
11514,46,blue-collar,single,basic.6y,unknown,no,yes,cellular,jul,mon,3,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
7503,40,admin.,married,high.school,unknown,yes,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94465.0,-41.8,4967.0,5228.1,0
20846,34,admin.,married,university.degree,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
21068,42,management,married,university.degree,no,no,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
2944,30,technician,married,university.degree,no,yes,no,telephone,may,fri,8,999,0,nonexistent,1.1,93994.0,-36.4,4859.0,5191.0,0
14361,39,admin.,divorced,high.school,no,yes,yes,cellular,jul,tue,9,999,0,nonexistent,1.4,93918.0,-42.7,4961.0,5228.1,0
27152,39,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92893.0,-46.2,1281.0,5099.1,0
27661,27,self-employed,single,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92893.0,-46.2,1266.0,5099.1,0
21617,34,self-employed,single,basic.9y,no,no,no,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
13662,45,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,1
5957,33,admin.,married,high.school,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93994.0,-36.4,4864.0,5191.0,0
32413,30,admin.,single,high.school,no,no,no,telephone,aug,thu,1,22,1,success,-1.7,94027.0,-38.3,0.899,4991.6,0
23806,51,blue-collar,divorced,basic.4y,no,no,yes,cellular,apr,mon,5,999,0,nonexistent,-1.8,93075.0,-47.1,1405.0,5099.1,0
24819,38,technician,divorced,professional.course,no,yes,yes,cellular,may,tue,2,999,1,failure,-1.8,92893.0,-46.2,1344.0,5099.1,0
26898,38,admin.,divorced,university.degree,no,no,no,cellular,may,tue,3,999,0,nonexistent,-1.8,92893.0,-46.2,1291.0,5099.1,0
28383,33,admin.,single,high.school,no,no,no,cellular,may,fri,11,999,0,nonexistent,-1.8,92893.0,-46.2,1.25,5099.1,0
4069,26,blue-collar,single,basic.9y,unknown,no,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
9016,47,blue-collar,married,basic.6y,no,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94465.0,-41.8,4961.0,5228.1,0
970,49,technician,married,professional.course,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93994.0,-36.4,4855.0,5191.0,0
6985,45,entrepreneur,married,unknown,no,no,no,telephone,jun,wed,16,999,0,nonexistent,1.4,94465.0,-41.8,4864.0,5228.1,0
21252,50,admin.,divorced,university.degree,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
13528,53,technician,married,unknown,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
21195,34,technician,married,professional.course,no,no,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
441,40,technician,married,basic.4y,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
17115,30,admin.,single,university.degree,no,yes,no,cellular,aug,mon,12,999,0,nonexistent,1.4,93444.0,-36.1,4963.0,5228.1,0
17452,30,technician,single,professional.course,no,yes,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93444.0,-36.1,4964.0,5228.1,0
21242,52,blue-collar,divorced,basic.4y,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
2395,47,services,divorced,high.school,no,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93994.0,-36.4,4859.0,5191.0,0
8494,30,blue-collar,single,basic.4y,no,no,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94465.0,-41.8,4961.0,5228.1,0
10477,43,admin.,married,university.degree,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
16174,29,technician,married,university.degree,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93444.0,-36.1,4965.0,5228.1,0
19853,43,admin.,married,high.school,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4153.0,5195.8,0
2874,28,management,married,high.school,unknown,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93994.0,-36.4,4859.0,5191.0,0
16431,30,admin.,single,university.degree,no,no,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93444.0,-36.1,4966.0,5228.1,0
7460,57,management,single,basic.9y,no,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94465.0,-41.8,4967.0,5228.1,0
20929,52,entrepreneur,married,university.degree,unknown,yes,yes,telephone,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
25822,33,admin.,single,high.school,no,no,yes,cellular,may,fri,1,999,0,nonexistent,-1.8,92893.0,-46.2,1313.0,5099.1,0
30556,32,admin.,married,university.degree,no,yes,no,cellular,oct,thu,1,999,0,nonexistent,-3.4,92431.0,-26.9,0.754,5017.5,0
2853,34,admin.,married,university.degree,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93994.0,-36.4,4859.0,5191.0,0
29198,33,admin.,single,high.school,no,no,no,cellular,jun,tue,1,999,1,failure,-2.9,92963.0,-40.8,1262.0,5076.2,0
12531,33,admin.,single,university.degree,no,no,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,0
14917,38,self-employed,divorced,basic.9y,no,yes,yes,cellular,jul,thu,3,999,0,nonexistent,1.4,93918.0,-42.7,4968.0,5228.1,0
26853,36,services,divorced,basic.9y,no,no,no,cellular,may,tue,3,999,0,nonexistent,-1.8,92893.0,-46.2,1291.0,5099.1,0
16365,32,technician,married,university.degree,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93444.0,-36.1,4966.0,5228.1,1
9782,44,admin.,divorced,unknown,no,no,no,telephone,jul,tue,2,999,0,nonexistent,1.4,93918.0,-42.7,4955.0,5228.1,0
16448,33,admin.,married,university.degree,no,no,yes,cellular,aug,tue,2,999,0,nonexistent,1.4,93444.0,-36.1,4966.0,5228.1,0
22249,88,retired,divorced,basic.4y,no,yes,no,cellular,mar,wed,1,999,0,nonexistent,-1.8,92843.0,-50.0,1663.0,5099.1,1
4713,30,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,4,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
11198,40,housemaid,married,basic.4y,unknown,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93918.0,-42.7,4963.0,5228.1,0
21594,41,services,single,basic.9y,no,no,no,cellular,nov,thu,5,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
23122,41,admin.,divorced,high.school,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93075.0,-47.1,1405.0,5099.1,0
2760,27,technician,single,professional.course,no,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93994.0,-36.4,4.86,5191.0,0
20481,29,entrepreneur,married,basic.9y,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
4282,34,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
16335,52,housemaid,married,basic.6y,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93444.0,-36.1,4966.0,5228.1,0
32544,39,entrepreneur,married,university.degree,no,yes,no,cellular,sep,tue,3,999,0,nonexistent,-1.1,94199.0,-37.5,0.8809999999999999,4963.6,0
30105,35,management,married,high.school,no,yes,yes,cellular,aug,fri,4,999,2,failure,-2.9,92201.0,-31.4,0.8690000000000001,5076.2,0
27161,34,blue-collar,married,basic.6y,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92893.0,-46.2,1281.0,5099.1,1
15599,41,technician,married,unknown,unknown,yes,yes,cellular,aug,thu,1,999,0,nonexistent,1.4,93444.0,-36.1,4968.0,5228.1,0
483,41,technician,married,basic.6y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
27580,41,services,married,high.school,no,no,no,cellular,may,thu,4,999,1,failure,-1.8,92893.0,-46.2,1266.0,5099.1,0
30780,23,technician,single,university.degree,no,yes,no,cellular,oct,fri,1,999,0,nonexistent,-3.4,92431.0,-26.9,0.73,5017.5,1
20883,35,management,married,university.degree,no,yes,no,cellular,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
13961,44,blue-collar,single,high.school,unknown,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,1
12348,29,management,single,basic.9y,no,no,yes,cellular,jul,fri,1,999,0,nonexistent,1.4,93918.0,-42.7,4957.0,5228.1,1
26058,37,unemployed,married,basic.9y,no,yes,yes,cellular,may,fri,4,999,0,nonexistent,-1.8,92893.0,-46.2,1313.0,5099.1,0
9325,53,blue-collar,married,basic.9y,unknown,yes,yes,telephone,jun,fri,20,999,0,nonexistent,1.4,94465.0,-41.8,4959.0,5228.1,0
3909,28,blue-collar,single,basic.6y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93994.0,-36.4,4858.0,5191.0,0
13727,50,retired,married,professional.course,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,1
5144,47,admin.,married,university.degree,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
20851,42,self-employed,single,university.degree,no,no,no,cellular,nov,wed,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
29064,24,student,single,university.degree,no,no,no,cellular,jun,mon,1,999,0,nonexistent,-2.9,92963.0,-40.8,1266.0,5076.2,0
11598,50,technician,single,university.degree,no,yes,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93918.0,-42.7,4961.0,5228.1,0
17715,55,admin.,married,university.degree,unknown,no,no,cellular,aug,wed,6,999,0,nonexistent,1.4,93444.0,-36.1,4964.0,5228.1,0
12768,25,entrepreneur,single,professional.course,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,0
15027,41,blue-collar,married,basic.6y,no,yes,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93918.0,-42.7,4968.0,5228.1,0
25498,37,management,single,university.degree,no,no,no,telephone,may,thu,2,999,0,nonexistent,-1.8,92893.0,-46.2,1327.0,5099.1,0
12024,55,admin.,single,high.school,no,no,yes,cellular,jul,wed,5,999,0,nonexistent,1.4,93918.0,-42.7,4957.0,5228.1,0
25541,35,management,married,university.degree,no,no,no,cellular,may,thu,1,999,1,failure,-1.8,92893.0,-46.2,1327.0,5099.1,0
736,34,technician,married,professional.course,unknown,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93994.0,-36.4,4856.0,5191.0,0
27211,28,unemployed,married,university.degree,no,no,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92893.0,-46.2,1281.0,5099.1,0
26593,36,entrepreneur,single,university.degree,no,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92893.0,-46.2,1291.0,5099.1,1
19336,33,technician,single,professional.course,no,yes,no,telephone,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4406.0,5195.8,0
2724,35,unemployed,married,university.degree,no,no,no,telephone,may,thu,25,999,0,nonexistent,1.1,93994.0,-36.4,4.86,5191.0,0
3877,30,blue-collar,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93994.0,-36.4,4858.0,5191.0,0
25108,46,services,married,high.school,no,no,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92893.0,-46.2,1334.0,5099.1,0
839,32,housemaid,married,basic.4y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93994.0,-36.4,4856.0,5191.0,0
19711,55,services,married,high.school,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4191.0,5195.8,0
29570,55,blue-collar,married,basic.9y,no,no,no,cellular,jun,mon,2,999,0,nonexistent,-2.9,92963.0,-40.8,1215.0,5076.2,0
19506,54,services,married,high.school,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4191.0,5195.8,0
25349,28,admin.,divorced,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92893.0,-46.2,1327.0,5099.1,1
29477,32,technician,divorced,university.degree,no,yes,no,cellular,jun,mon,2,999,0,nonexistent,-2.9,92963.0,-40.8,1.26,5076.2,1
21914,55,retired,single,university.degree,unknown,no,no,cellular,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42.0,4021.0,5195.8,0
24864,35,admin.,single,university.degree,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92893.0,-46.2,1344.0,5099.1,0
23934,45,blue-collar,divorced,basic.4y,no,no,no,telephone,apr,mon,4,999,0,nonexistent,-1.8,93075.0,-47.1,1405.0,5099.1,0
20685,31,entrepreneur,married,high.school,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
12718,37,management,married,university.degree,no,yes,no,cellular,jul,mon,8,999,0,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,0
21126,46,management,married,unknown,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,0
8421,55,management,married,university.degree,no,yes,no,telephone,jun,mon,5,999,0,nonexistent,1.4,94465.0,-41.8,4.96,5228.1,0
20302,34,technician,single,professional.course,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4153.0,5195.8,0
31219,64,retired,married,basic.4y,no,unknown,unknown,telephone,dec,wed,8,999,0,nonexistent,-3.0,92713.0,-33.0,0.715,5023.5,0
6183,31,blue-collar,single,unknown,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93994.0,-36.4,4864.0,5191.0,0
28629,53,management,married,university.degree,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92893.0,-46.2,1244.0,5099.1,0
28645,48,services,married,unknown,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92893.0,-46.2,1244.0,5099.1,0
2748,35,management,married,university.degree,no,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93994.0,-36.4,4.86,5191.0,0
19898,34,blue-collar,married,professional.course,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42.0,4153.0,5195.8,0
6125,29,management,single,university.degree,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93994.0,-36.4,4864.0,5191.0,0
1082,30,technician,single,basic.6y,unknown,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93994.0,-36.4,4855.0,5191.0,0
22580,32,admin.,single,university.degree,no,no,no,cellular,apr,tue,2,999,0,nonexistent,-1.8,93075.0,-47.1,1453.0,5099.1,0
25456,23,student,single,basic.9y,no,yes,yes,cellular,may,thu,7,999,0,nonexistent,-1.8,92893.0,-46.2,1327.0,5099.1,0
18150,32,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,3,999,0,nonexistent,1.4,93444.0,-36.1,4964.0,5228.1,0
6622,44,admin.,single,university.degree,no,no,yes,telephone,jun,tue,1,999,0,nonexistent,1.4,94465.0,-41.8,4864.0,5228.1,0
10201,39,admin.,divorced,basic.9y,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,0
19939,33,self-employed,married,university.degree,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4153.0,5195.8,0
21939,44,self-employed,married,professional.course,no,yes,no,telephone,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42.0,4021.0,5195.8,0
23513,39,admin.,married,high.school,no,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93075.0,-47.1,1405.0,5099.1,0
27784,35,blue-collar,married,basic.6y,unknown,no,yes,telephone,may,thu,1,999,0,nonexistent,-1.8,92893.0,-46.2,1266.0,5099.1,0
20276,42,admin.,married,university.degree,no,yes,no,telephone,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4153.0,5195.8,0
28124,23,technician,single,professional.course,no,unknown,unknown,cellular,may,fri,5,999,0,nonexistent,-1.8,92893.0,-46.2,1.25,5099.1,0
8109,39,admin.,married,university.degree,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94465.0,-41.8,4958.0,5228.1,0
24233,54,management,married,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93075.0,-47.1,1365.0,5099.1,0
15103,36,admin.,single,university.degree,no,no,yes,cellular,jul,thu,11,999,0,nonexistent,1.4,93918.0,-42.7,4968.0,5228.1,0
12116,50,blue-collar,married,unknown,unknown,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93918.0,-42.7,4958.0,5228.1,0
11801,27,blue-collar,single,high.school,no,unknown,unknown,cellular,jul,tue,3,999,0,nonexistent,1.4,93918.0,-42.7,4961.0,5228.1,0
24951,31,blue-collar,single,high.school,no,no,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92893.0,-46.2,1334.0,5099.1,0
16108,36,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93444.0,-36.1,4965.0,5228.1,0
29740,21,student,single,high.school,no,yes,yes,cellular,aug,tue,1,999,0,nonexistent,-2.9,92201.0,-31.4,0.884,5076.2,0
15475,51,technician,married,professional.course,no,no,no,cellular,aug,wed,9,999,0,nonexistent,1.4,93444.0,-36.1,4967.0,5228.1,0
1212,47,services,single,high.school,no,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93994.0,-36.4,4855.0,5191.0,0
17269,31,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93444.0,-36.1,4963.0,5228.1,0
31413,23,student,single,high.school,no,no,no,telephone,mar,fri,1,3,1,success,-1.8,93369.0,-34.8,0.649,5008.7,1
27499,33,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,5,999,0,nonexistent,-1.8,92893.0,-46.2,1266.0,5099.1,0
15918,44,services,married,high.school,unknown,yes,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93444.0,-36.1,4966.0,5228.1,0
28951,34,admin.,married,university.degree,no,yes,yes,cellular,may,wed,1,7,1,success,-1.8,92893.0,-46.2,1.27,5099.1,1
27065,52,admin.,married,basic.9y,no,no,no,cellular,may,wed,1,999,1,failure,-1.8,92893.0,-46.2,1281.0,5099.1,0
17906,30,technician,single,university.degree,no,no,no,cellular,aug,thu,7,999,0,nonexistent,1.4,93444.0,-36.1,4963.0,5228.1,0
6041,34,admin.,married,university.degree,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93994.0,-36.4,4864.0,5191.0,0
